Subzone ID,Circalittoral coarse sediment,Circalittoral mud,Circalittoral rock and biogenic reef,Circalittoral sand,Infralittoral rock and biogenic reef,Infralittoral sand
R000_C000,0,0,1,0,0,0
R000_C001,1,0,0,0,0,0
R000_C002,0,0,1,0,0,0
R000_C003,0,0,1,0,0,0
R000_C004,0,0,1,0,0,0
R000_C005,0,0,0,1,0,0
R000_C006,0,0,0,1,0,0
R000_C007,0,0,0,1,0,0
R000_C008,0,0,0,1,0,0
R000_C009,0,0,0,1,0,0
R000_C010,1,0,0,0,0,0
R000_C011,1,0,0,0,0,0
R000_C012,1,0,0,0,0,0
R000_C013,1,0,0,0,0,0
R000_C014,1,0,0,0,0,0
R000_C015,1,0,0,0,0,0
R000_C016,0,0,0,0,0,1
R000_C017,0,0,0,0,1,0
R001_C000,1,0,0,0,0,0
R001_C001,1,0,0,0,0,0
R001_C002,1,0,0,0,0,0
R001_C003,0,0,0,1,0,0
R001_C004,0,0,0,1,0,0
R001_C005,0,0,1,0,0,0
R001_C006,1,0,0,0,0,0
R001_C007,1,0,0,0,0,0
R001_C008,0,0,0,1,0,0
R001_C009,1,0,0,0,0,0
R001_C010,1,0,0,0,0,0
R001_C011,1,0,0,0,0,0
R001_C012,1,0,0,0,0,0
R001_C013,1,0,0,0,0,0
R001_C014,1,0,0,0,0,0
R001_C015,0,0,0,0,1,0
R001_C016,0,0,0,0,1,0
R001_C017,0,0,0,0,1,0
R002_C000,1,0,0,0,0,0
R002_C001,1,0,0,0,0,0
R002_C002,1,0,0,0,0,0
R002_C003,0,0,0,1,0,0
R002_C004,0,0,0,1,0,0
R002_C005,0,0,0,1,0,0
R002_C006,0,0,0,1,0,0
R002_C007,1,0,0,0,0,0
R002_C008,1,0,0,0,0,0
R002_C009,1,0,0,0,0,0
R002_C010,1,0,0,0,0,0
R002_C011,1,0,0,0,0,0
R002_C012,1,0,0,0,0,0
R002_C013,1,0,0,0,0,0
R002_C014,1,0,0,0,0,0
R002_C015,0,0,0,0,1,0
R002_C016,0,0,0,0,1,0
R002_C017,0,0,0,0,1,0
R003_C000,1,0,0,0,0,0
R003_C001,0,0,0,1,0,0
R003_C002,0,0,0,1,0,0
R003_C003,0,0,0,1,0,0
R003_C004,0,0,0,1,0,0
R003_C005,0,0,0,1,0,0
R003_C006,1,0,0,0,0,0
R003_C007,1,0,0,0,0,0
R003_C008,1,0,0,0,0,0
R003_C009,1,0,0,0,0,0
R003_C010,1,0,0,0,0,0
R003_C011,1,0,0,0,0,0
R003_C012,1,0,0,0,0,0
R003_C013,1,0,0,0,0,0
R003_C014,1,0,0,0,0,0
R003_C015,0,0,0,0,1,0
R003_C016,0,0,0,0,1,0
R003_C017,0,0,0,0,1,0
R004_C000,0,0,0,1,0,0
R004_C001,0,1,0,0,0,0
R004_C002,0,0,0,1,0,0
R004_C003,0,0,0,1,0,0
R004_C004,0,0,0,1,0,0
R004_C005,0,0,0,1,0,0
R004_C006,0,0,0,1,0,0
R004_C007,0,0,0,1,0,0
R004_C008,1,0,0,0,0,0
R004_C009,0,0,0,1,0,0
R004_C010,0,0,0,1,0,0
R004_C011,1,0,0,0,0,0
R004_C012,1,0,0,0,0,0
R004_C013,1,0,0,0,0,0
R004_C014,1,0,0,0,0,0
R004_C015,0,0,0,0,1,0
R004_C016,0,0,0,0,1,0
R004_C017,0,0,0,0,1,0
R005_C000,0,1,0,0,0,0
